n#11124961	Fernand_Léger Fernand_léger
v#02097800	tirar sacar
n#02023133	Charadriidae
n#05979350	bruxaria feitiço bruxaria
n#14736854	proteoma
n#12599435	Tanchagem
n#09532101	Arimã Arimã Arimane
n#12744850	Melicoccus_bijugatus mamoncillo
a#01732270	futuro
n#05586446	Endosqueleto endoesqueleto
v#01849221	vir ir
a#01763159	indulgente
n#04520962	vaporizador
n#15057212	estelite
n#13726296	caloria caloria
n#12619306	Rosaceae
n#06327136	pronome_pessoal Pronome_Pessoal_do_Caso_Reto pronome_pessoal_do_caso_reto
n#11005320	Carlo_Goldoni Carlo_goldoni
a#00053032	aderente
n#01350485	Bacillus_subtilis
v#02195191	causar_náuseas_a enjoar
n#02390640	asno-da-somália
a#00576680	consistente
n#08951513	Frísia Frísia
n#13991346	culpa criminalidade
v#01794523	torturar atormentar supliciar
n#03307037	Extensão_elétrica
a#00842914	sem_força
n#15282032	taxa_de_amostragem
v#01803641	reavivar aguaçar
v#00218475	secar
n#00851994	planeamento_familiar planejamento_familiar controlo_de_natalidade
v#00627824	ler
n#05008227	masculinidade
n#04240097	Bodoque estilingue baladeira estilingue
n#00320625	stalking
v#00641672	multiplicar
n#03607756	caleidoscópio Caleidoscopio caleidoscópio
n#01156899	armamento equipamento
n#12250413	Diapensiaceae
v#01700326	colocar_hífen
r#00502710	especialmente
n#10753442	aldeã aldeão
n#08644722	Zona_Rural Zona_rural áreas_rurais
n#07803992	gérmen_de_trigo
v#01842068	voar correr
n#13444703	Divisão_celular
n#07860447	Xarope_de_ácer xarope_de_ácer xarope_de_bordo
n#05554189	Glândula_mamária glândula_mamária
r#00237423	de_forma_preocupante
n#11596108	Gymnospermas gimnospérmica gimnospérmicas gimnosperma
n#14961722	folha
n#10809223	Esopo
n#11031420	William_Henry_Harrison William_henry_harrison
n#05712076	sensação
n#00622068	grande_esforço luta batalha
n#02386968	Clydesdale
n#14558899	Nefroptose
n#04283096	spoiler
n#09675393	tâmil
n#07355491	morte
n#10988466	John_Galsworthy John_galsworthy
n#04096066	estrada caminho via rodovia estradas autoestradas
v#01066433	atacar_de_frente
n#14416668	confidencialidade caráter_confidencial confidencialidade
n#10173086	herói
n#11549009	conídio
n#10923521	Honoré_Daumier Honoré_daumier
n#11644712	Thujopsis
n#06393253	cláusula_arbitral
a#01883325	preditivo
a#00971075	chique
a#00142622	equipado
n#01988971	Mysidacea
n#05067514	destro
n#08895771	Swansea
n#00537423	tango
n#07805731	ração_animal
v#00660971	avaliar taxar valorizar
n#01089483	filantropia Filantropia filantropia
n#01645634	Bufonidae Sapo sapo
n#10780506	viúvo
n#12077505	Phragmipedium
n#07525057	inquietude
v#02425112	apresentar
n#13515678	microevolução microevolução
n#11258501	Paul_Revere
a#00960971	infiel
n#09860415	blogueira blogueiro
n#05228496	quiasma
n#03649909	corta-relva cortador_de_grama
r#00194578	severamente
n#08300429	Acordo_Geral_de_Tarifas_e_Comércio Acordo_geral_de_tarifas_e_comércio
a#02806261	sustentável
n#08846324	Viena Viena Vienne
n#08589351	isóbara
v#01274971	puncionar
n#10838288	Bate-Seba Bate-seba
n#07292694	resultado placar
n#10144055	Designer_grafico Designers_gráficos designer_gráfico
n#02736511	arena
n#02730265	cotonete haste_flexível
n#10473562	Príncipe_consorte
n#04877530	lealdade
n#02906734	vassoura vassoura
n#10200781	personagem
n#07917272	chave_de_fenda
a#01593079	ordinário comum
v#01115411	equalizar
n#06122445	geografia_física fisiografia
v#01914947	correr
n#06580866	programa_de_rastreio
n#10959664	Jacob_Epstein Jacob_epstein
n#13431992	Angiogénese Angiogenese angiogênese angiogênese
n#10625546	soprano
n#13452614	convecção convecção
n#09469912	Vega
n#00259544	retribuição
n#02667478	abadia
n#01621714	Strigidae
n#04224155	sifão
a#02576795	herbáceo
v#02165543	inspecionar inspeccionar vistoriar
a#00131018	frontal
n#06791372	Sinalização_telefônica
n#02991302	calabouço masmorra
n#01949085	Patella_vulgata
n#09953178	treinador
n#11003068	Kurt_Gödel Kurt_Godel Kurt_gödel Kurt_godel
a#00784215	unânime
n#06467007	resumo sumário sumário
n#08220620	vôo
n#05469240	Terminação_livre
n#10955282	Alfred_Eisenstaedt Alfred_eisenstaedt
n#03550153	mucambo barraca
n#05956287	cartismo
n#06905513	crioulo_haitiano crioulo_haitiano
n#07186828	apelo petição súplica
n#06077916	Genética_molecular genética_molecular genética_molecular
n#12547658	Macrotyloma
n#13986943	qualidade_de_vida
n#03444601	Golden_Gate_Bridge Golden_gate_bridge
n#08295138	Comunidade_de_Estados_Independentes Comunidade_dos_Estados_Independentes CEI
n#11003276	Lady_Godiva Lady_godiva
v#00489699	justificar
n#03306207	exportação comando_exportar
n#15231964	Idade_da_Pedra Idade_da_Pedra Idade_da_pedra
n#00802111	auto-ajuda
n#07849912	coalhada
v#00949093	paginar numerar_as_páginas compaginar
n#09876892	irmão
n#13564045	Synapsis
n#04186624	charamela
v#01913849	atravessar_a_vau
n#08469457	realismo
n#13427789	adsorção adsorção
n#04186709	tesoura
n#09554910	Galatéia Galateia
n#01303252	Guerra_dos_Boers Guerra_dos_boers
n#11149995	Maimónides Maimônides Maimonides
n#09280995	sol Estrela_fixa
n#00958477	Guerra_Naval guerra_naval
n#00921160	jardinagem
n#10954498	Albert_Einstein Albert_einstein
a#02039845	vigoroso
n#04294879	Estábulo estábulos estábulo quarteirão
n#12712488	Dictamnus
n#10473917	Príncipe_de_Gales Príncipe_de_gales Príncipes_de_Gales Principe_de_Gales Principe_de_gales
n#14239918	Câncro cancro cancro câncer
a#00589624	discontente
n#12822955	Confrei
n#08677628	Locale
n#03908831	penduricalho
n#08813807	Etrúria
v#01570108	instalar
n#10930778	Deng_Xiaoping Deng_xiaoping
n#08390374	paraquedistas paraquedista
n#10142537	Inquisidor_geral Inquisidor-geral
n#14904661	Halogénio halogênio halogênio
v#02135048	ressoar soar
n#08512259	limite fronteira fronteiras
n#03210940	apresentação
n#10013114	idiota
n#00353992	devaliação desvalorização
r#00134203	moralmente
n#06049673	Medicina_de_emergência Medicina_de_urgência
n#06928744	língua_manchu
n#01139000	sanção
v#00889229	assinar
n#09338712	Lhotse
v#00074558	constipar
n#11701492	Chimonanthus
n#04632963	vida alacridade furor
n#08047747	Cruz_Vermelha Movimento_Internacional_da_Cruz_Vermelha_e_do_Crescente_Vermelho
n#14934031	levedura leveduras
v#01107544	superar pensar_mais_que
n#10020890	médico doutor
n#00656524	Primeiros_socorros primeiros_socorros
n#10912451	Cosme_de_Médici Cosme_de_médici
n#11781430	Aglaonema
n#01794344	tom-tom
n#00147454	ligação junção
n#05355706	Artéria_ulnar
v#02475401	armar
n#12148962	Phyllostachys
n#08960099	Trípoli Trípoli Tripoli
a#02905794	psicológico
n#14932943	Peridotito
n#08950907	Roterdão Roterdão
n#10123844	general generalidades
n#09721244	luxemburguês
n#08251756	Jet-set jet_set
n#09189411	Africa África África
n#01890411	Chrysochloris
n#06622993	correio_aéreo
n#00595333	presidência_do_municipio
v#00203213	abusar
n#03071431	Colofon cólofon
a#00028181	declarável
n#13870414	geodésica geodésica geodésico
n#01019901	reprodução
n#01902274	anca
a#00968730	exótico
v#02518161	comportar-se resistir
n#13884740	Paralelepipedo paralelepípedo paralelepípedo
n#03020034	microchip chip
r#00178460	religiosamente
n#05009170	propriedade_física propriedades_físicas
n#02203008	Chironomidae
a#00478590	sem_conforto desconfortável
n#11850136	Melocactus
n#06064345	terapêutica
n#08026904	Exército_Vermelho_Japonês Exército_vermelho_japonês
v#01668421	ilustrar
a#01493016	infantil imaturo imatura pueril
n#14467685	plagiocefalia
n#00570366	Australian_Crawl
a#02622678	anencefálico
n#06872676	Tenor Tenores tenor
n#14385082	cinofobia
n#09375085	núcleo
n#15092751	Vitamina_k vitamina_K
v#01542525	drapejar guarnecer_de_armação
n#09137334	Rhode_Island
n#11182966	Robert_Mitchum Robert_mitchum
n#14310830	Síndrome_do_desfiladeiro_torácico
n#12064183	Gymnadenia
a#02908647	do_duodeno duodenal
a#00109504	diádromo
n#14580897	materiais
a#01810998	piramidal
n#05526713	pénis jeba picha
n#01884203	Dasyurus_viverrinus
n#00723241	receptor
a#00912814	desigual cheio_de_remendos
n#14744841	Hormonas_vegetais fitormônio
n#10086821	marechal_de_campo
n#11109563	Alfred_Korzybski Alfred_korzybski
n#12440128	Aphyllanthaceae
n#04132603	Sangen
n#02977330	caxemira
n#08950230	Arnhem Arnhemia
v#02578510	celebrar festejar solenizar
n#06172789	linguística lingüística Lingüística Lingüistica Linguistica linguística
n#05560787	perna perna
n#10947108	Bob_Dylan Bob_dylan
a#01355746	vulcânico
v#02467662	dividir repartir esmigalhar articular-se dividir-se
n#11617090	Pinus_radiata
n#12329473	Resedá_Gigante Resedá_gigante Resedá-gigante
n#08981123	Mindoro
n#13694367	péni pêni
n#00899657	Teatro_de_Fantoches teatro_de_fantoches
a#01808413	gratificante
n#10834543	John_Bardeen John_bardeen
n#08040522	Qibla
n#11257697	Reiter
n#14958254	napalm napalm
n#01582220	gralha pega pega-rabuda
n#05602835	bochecha bochecha
n#09505153	clérigo
n#02327656	Lebre_ártica lebre-ártica
n#04520618	vancomicina vancomicina
n#02827606	cinto cinto
r#00189401	um_dia
r#00313092	de_forma_desastrosa desastrosamente
n#13440779	ebulição fervura
n#05733361	Sistema_abo sistema_ABO
n#05635841	Horologia orologia
n#09487546	Demogorgon
n#03072201	Televisão_em_cores
n#14064408	Drogadição Toxicomania
n#02064338	baleia-jubarte
n#11552133	criptogâmicas Criptógama Criptógamas
n#06508112	ata minutos minuta_de_reunião
a#00345494	instável
v#01286913	amarrar atar
v#00481739	codificar
n#03332784	Transístor_de_Efeito_de_Campo Transistor_de_Efeito_de_Campo Transistor_de_efeito_de_campo
n#07771731	castanheiro-do-pará castanha-do-pará
n#09581129	Höðr
v#01846916	andar viajar ir
n#00228181	Pessoas_executadas_por_decapitação decapitação decapitação
v#00836236	representar simbolizar
n#04956594	cor tez cor
n#09622928	amada
n#03784475	Amarra
n#00693109	Experiência_de_Michelson-Morley Experiência_de_michelson-morley
n#06335832	patronímico
n#06427831	Edição_jornalística redacção redação
n#01586170	Campylorhynchus
n#08610646	Parque_Nacional_de_Yosemite Parque_nacional_de_yosemite Yosemite_National_Park
n#02127381	Lince-do-canadá
n#08737376	Cidade_da_Guatemala Cidade_da_Guatemala Cidade_da_guatemala Guatemala
v#01817755	desencantar desiludir
a#00948384	externo exterior
a#00294579	preguiçoso vadio vagaroso
n#03496296	Cravo cravo
n#08106661	subclasse
a#01186913	translúcido
n#11130661	John_L._Lewis John_l._lewis
n#10002151	democrata
a#02341266	superior
a#00948670	interno
n#14009020	ultrapassagem
n#11361288	Giorgio_Vasari Giorgio_vasari
n#15194940	Noite_de_Reis Noite_de_reis Twelfth_Night
n#14673325	Cuprita
n#01104324	Catering
r#00031515	já_não não_mas não_mais
n#05855125	número quantidade soma
a#00021110	obsequioso
n#00589769	capitania
n#04395875	taberna taverna boteco taberna
n#15024997	hemo heme pigmento_da_hemoglobina
n#05846355	limitação restrição
v#00858568	aclamar
n#02917163	tourada corrida_de_touros
n#10056914	endocrinòleg
n#06975368	Língua_osseta osseto
n#09336853	Laurásia Laurasia
n#02670382	Acelerador_de_particulas Aceleradores_de_partículas acelerador_de_partículas acelerador_de_partículas acelerador
n#05714161	cheiro
a#02280566	resiliente
n#07804323	arroz
v#02619739	sobreviver
a#02807163	simbólico
n#07090938	redundância
n#04828925	humanidade
n#05853636	interesse
n#05451981	Linfócito_t linfócito_T
a#00618377	assado
v#01791756	distrair desviar_a_atenção
v#00642644	interpolar extrapolar
a#01688757	banal comun vulgar
n#06278136	som
n#08963813	Kuala_Lumpur Kuala_lumpur
n#11475682	força_de_Lorentz
n#02470238	Simiiformes
n#04857083	coragem ânimo coragem denodo
n#09220434	enseada_do_Benim
a#00298767	cacofônico
n#07680932	bolo
a#00929567	esperado
n#13630864	exbibyte
n#05699906	morbidade
n#07227301	palavra_da_honra
n#06785654	palavras_cruzadas Palavras_cruzadas palavrascruzadas
n#07319103	vitória
n#02343772	Gerbillinae gerbilo gerbilo rato-do-deserto
n#00533322	habanera
n#04183663	cintura
n#06840890	Escritas_ideográficas logossilabário
n#08630985	região regiões
n#03396074	traste
v#00803325	autorizar permitir
n#07014320	ebulição
n#10385159	ortopedista
n#13324826	porte_postal porte
n#01909906	pólipo pólipo
n#07063101	Bebop
n#12311894	Haemodoraceae
n#06683359	noticiário
n#10893830	François-René_de_Chateaubriand François-rené_de_chateaubriand
a#01993140	respeitável
r#00239064	a_pé de_imediato andando em_execução em_progresso
n#11362885	Robert_Venturi Robert_venturi
a#02665212	biogenético
a#00594413	contínuo
a#02417301	rala
n#11157580	Bob_Marley Bob_marley
n#04386283	Taj_Mahal Taj_mahal
n#04477966	Casa_da_árvore
n#07348545	onda vagalhão
v#00289840	amarelar
n#03652530	Torre_de_Pisa Torre_de_pisa
n#01292343	Batalha_de_Pidna
n#01210439	creche
n#13735163	máximo_divisor_comum
n#11446242	condensação
a#02638392	arqueológico
n#03878674	Paleta pálete
n#10639925	fã seguidor
n#01141160	devolução
v#00690614	achar considerar
n#10059904	entomólogo entomologista
n#00520672	cabaré cabaret
n#11343040	Nikolaas_Tinbergen Nikolaas_tinbergen
a#01854546	indireto
n#00646187	anatomia
n#08042183	Forças_Armadas_Revolucionárias_da_Colômbia Forças_armadas_revolucionárias_da_colômbia
n#07827896	Endro endro aneto
a#00211092	glabro imberbe
n#07724269	iceberg
a#00437539	clemente
n#07517737	indignação
v#01425348	acariciar aconchegar-se
n#08942629	Ilha_de_França Ilha_de_frança Ilha-de-França Ilha-de-frança
a#00624026	considerável
n#11077927	Jane_Jacobs Jane_jacobs
n#08933770	Quai_d'Orsay Quai_d'orsay
n#05302499	boca
n#00213903	imunidade
n#12432808	cebola
n#08716738	Camboja Reino_do_Camboja Camboja
n#07822323	cardamomo
n#06120111	Hidrografia hidrografia hidrografia
n#07794744	truta
a#01663916	altista de_ascensão
n#08335886	Suprema_Corte_dos_Estados_Unidos_da_América
a#00114454	furibundo furioso feroz raivoso
n#09476123	lençol_freático lençóis_freáticos
n#14594456	acetila
n#11364419	Andreas_Vesalius Andreas_vesalius
n#13908348	estria
n#07473441	vitória
n#06018022	Matemática_Aplicada Matemática_aplicada
n#02353709	Geomys
n#08766455	Malmö
a#02831979	anfíbio
n#02924554	calhambeque
v#02153709	procurar revistar
n#04191150	goma-laca
v#01021629	arranjar providenciar
n#14092577	Discinesia discinesia
n#02054834	Rabo_de_palha Rabo-de-palha
a#01413871	improvável
n#08958535	Biblos
a#02941235	etiológico
n#09557387	Atena Atena
n#03254737	dulcimer
n#02779845	lastro estiva balastro
a#00730082	incondicional
n#01384687	comensalismo
a#01853934	alternativo
v#00312380	escurecer
n#04545305	andador
n#07879450	sushi suchi
n#01944390	caracol caramujo
a#02204580	enésimo
n#12578255	Vigna_radiata
a#02745739	idiopático
n#01043333	Via_Crúcis Via_Crucis Via_crúcis
a#03065685	fecal
n#05037813	violência
n#14099172	Afasia_de_Wernicke Afasia_de_wernicke
a#02471984	subterrânea
n#01877407	Macropus
a#01750847	impecável sem_erros
n#14743582	amônia amoníaco amoníaco
n#00454624	fundição
n#04786490	simplicidade
n#14686352	Combustíveis_fósseis Combustível_Fóssil Combustível_fóssil petróleo combustíveis_fósseis
n#02439033	girafa girafa Camelopardalis
v#00482180	compatibilizar
n#07628870	bolo Bolos bolo
n#00641693	Projeto_Genoma_Humano Projeto_genoma_humano
v#02162947	reluzir
v#00610374	reconhecer
n#06523641	apólice_de_seguro apólice
n#10508475	reacionário
a#00554624	contrátil
n#06979014	Línguas_dravídicas línguas_dravídicas
v#02713372	projectar-se
n#01128390	dominação
n#08699426	Africa_Oriental África_Oriental África_oriental África_Oriental
n#06833004	r
v#01523654	desenrolar
n#10964660	Esdras
a#00577405	em_conformidade
n#06665370	File_Transfer_Protocol File_transfer_protocol file_transfer_protocol
n#06466253	Upanixade
v#02665937	se_parece
n#06417598	Obra_de_referência Obras_de_referência
n#10506417	rancheiro
n#11017454	Hugo_Grócio Hugo_grócio
v#01931566	atravessar
n#05275162	Osso_hióide Osso_hioide
n#04381302	lapide prancheta
v#01256600	cortar talhar
a#01780343	racional intelectual
n#15086088	valina
n#03096960	controlador
n#06228346	Igrejas_Orientais Igrejas_orientais Rito_Oriental rito_oriental
n#06707178	Medalha_de_Honra Medalha_de_honra
a#01401532	estatutário regulamentar
r#00068070	para_frente
n#00797361	maratona
n#00622584	caça Caça caça
n#00448958	Patinação_sobre_rodas
n#13711663	milibar
n#10005934	deputado
a#03078586	queniano
n#09961198	contralto coltralto
n#06865345	nota
n#09714694	iraquiano
n#09597628	Mirmidão
n#01831078	Todidae
n#12126911	Panicum
n#08216795	secção
n#06897306	Novial novial
n#10622053	militar soldado soldado
n#12998349	Agaricales
n#06211078	enfoque
r#00476680	três_vezes
n#03865557	viaduto
v#01258091	cortar decepar
n#07996412	infestação
n#02452225	Pato_Donald Pato_Donald Pato_donald
n#07783967	enguia anguia
n#00865808	Miose
n#10411356	pedante
n#11251531	Sergei_Rachmaninoff Sergei_rachmaninoff
n#14135956	Febre_de_Lassa
n#09464962	Mar_Tirreno Mar_tirreno
n#02794008	barógrafo Barógrafo
n#13840719	política
a#00195684	horrível macabro
n#01069980	jejum
r#00107416	ultimamente recentemente há_pouco_tempo
n#05601357	rosto Fisiognomia face fisionomia
n#06115701	geologia geologia
n#14718017	electrum Electrum
